subject,timepoint,node,degree,strength,eigenvector_centrality,betweenness,local_efficiency,clustering
1,1,55,2229.98388246,2229.98388246,,0.001639344262295082,0.8879103841277559,0.0016718367235627376
1,1,56,1911.93248261,1911.93248261,,0.003044496487119438,0.8879103841277559,0.0015246725467723877
1,1,57,1654.964460805,1654.964460805,,0.002843760455001673,0.8879103841277559,0.0014020789120003185
1,1,58,2139.78229317,2139.78229317,,0.003379056540649047,0.8879103841277559,0.0018956047488979067
1,1,59,1524.98523684,1524.98523684,,0.0032117765138842424,0.8879103841277559,0.001442804734518774
1,1,60,972.6661702499999,972.6661702499999,,0.004483104717296755,0.8879103841277559,0.0007190137779695019
1,1,61,1263.1635102349999,1263.1635102349999,,0.002960856473737036,0.8879103841277559,0.0006720908259679332
1,1,62,1518.8431391,1518.8431391,,0.0009033121445299432,0.8879103841277559,0.0008751296635481391
1,1,63,1074.766371215,1074.766371215,,0.012813650050184009,0.8879103841277559,0.0009785839675780967
1,1,64,924.1920609,924.1920609,,0.007360321177651389,0.8879103841277559,0.0016198030791405122
1,1,65,908.357590875,908.357590875,,0.00625627300100368,0.8879103841277559,0.001501562355747131
1,1,66,390.105572985,390.105572985,,0.0001672800267648043,0.8879103841277559,0.0017243360750324656
1,1,67,722.770811285,722.770811285,,3.345600535296086e-05,0.8879103841277559,0.001372003479485833
1,1,68,1401.72662232,1401.72662232,,0.004984944797591168,0.8879103841277559,0.0016030624495627724
1,1,69,1305.371999155,1305.371999155,,0.005051856808297089,0.8879103841277559,0.0013583203664256159
1,1,70,868.4994459650001,868.4994459650001,,0.008313817330210773,0.8879103841277559,0.0005838463485586953
1,1,71,1027.81984094,1027.81984094,,0.01477082636333222,0.8879103841277559,0.0006260445118881027
1,1,72,1264.46666996,1264.46666996,,0.006925393108062897,0.8879103841277559,0.0008783429620564569
1,1,73,1153.809252835,1153.809252835,,0.007443961191033791,0.8879103841277559,0.0007549023185207135
1,1,74,1260.90657937,1260.90657937,,0.01207761793241887,0.8879103841277559,0.0007204324394664819
1,1,75,1478.448246825,1478.448246825,,0.014151890264302443,0.8879103841277559,0.0011003231270579554
1,1,76,1109.76795587,1109.76795587,,0.002141184342589495,0.8879103841277559,0.001178018557626928
1,1,77,1211.939853865,1211.939853865,,0.003813984610237538,0.8879103841277559,0.0009285595659833257
1,1,78,1201.782772745,1201.782772745,,0.009200401472064235,0.8879103841277559,0.0008638821678047352
1,1,79,1151.73970127,1151.73970127,,0.01440281030444965,0.8879103841277559,0.0006567869568127728
1,1,80,1318.8993989550002,1318.8993989550002,,0.010505185680829709,0.8879103841277559,0.0006804678607180883
1,1,81,957.827695525,957.827695525,,0.0093174974907996,0.8879103841277559,0.0006611288632421775
1,1,82,849.82630866,849.82630866,,0.004483104717296755,0.8879103841277559,0.001006491655339783
1,1,83,1487.591444735,1487.591444735,,0.005118768819003011,0.8879103841277559,0.0010528371164200273
1,1,84,1766.88040084,1766.88040084,,0.0013884242221478757,0.8879103841277559,0.0008128556747579601
1,1,85,1424.45997904,1424.45997904,,0.00234192037470726,0.8879103841277559,0.0008286568494552209
